2026-03-15 04:14:52 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:15:05 [WARNING] Connection error on attempt 1/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:20 [WARNING] Connection error on attempt 2/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [WARNING] Connection error on attempt 3/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Failed after 3 attempts: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Could not fetch today's data from sharesansar
2026-03-15 04:15:28 [INFO] [NABIL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:29 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:45 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] Connection error on attempt 3/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [ERROR] Failed after 3 attempts: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:33:36 [INFO] [MLBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MLBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MLBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MLBSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MMKJL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MNBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MPFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MSHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MSLB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NABBC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NABIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NADEP] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NESDO] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NFS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NGPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NHDL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NHPC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NICA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NICL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NICLBSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NIFRA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NIMB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NLG] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NLIC] Already up-to-date, nothing to add
